epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3333,1.14297,3.248,1.19751,0.00347,1,0.76914,0.55295,0.80064,3.17677,0.90742,0.00032,0.00032,0.00032
2,53.8025,1.05608,1.81604,1.08397,0.00347,1,0.09812,0.07174,0.92239,3.5528,0.99547,0.000653466,0.000653466,0.000653466
3,65.4815,1.06892,1.74603,1.10375,0.00347,1,0.03556,0.02172,1.00965,3.75649,1.40334,0.0009802,0.0009802,0.0009802
4,75.7373,1.07523,1.61216,1.11845,0.91771,0.73077,0.87624,0.63612,1.04517,3.02182,1.22336,0.0013002,0.0013002,0.0013002
5,87.6642,1.15457,1.50242,1.18507,0.73422,0.76923,0.80322,0.5409,1.15418,2.67501,1.32324,0.00161347,0.00161347,0.00161347
6,99.6465,1.14596,1.4799,1.16178,0.64849,0.70991,0.73303,0.46534,1.17932,3.13606,1.22378,0.001901,0.001901,0.001901
7,110.804,1.10194,1.29524,1.14928,0.40623,0.34615,0.39408,0.24964,1.30745,3.00197,1.21551,0.0018812,0.0018812,0.0018812
8,124.947,1.1009,1.16992,1.1074,0.62812,0.69231,0.66727,0.48607,1.00094,3.28725,1.10224,0.0018614,0.0018614,0.0018614
9,140.194,1.07559,1.14176,1.11757,0.81041,0.80769,0.89075,0.66129,1.06592,2.84738,1.10401,0.0018416,0.0018416,0.0018416
10,154.532,0.99409,1.05165,1.09281,0.78968,0.76923,0.82426,0.58026,0.95251,2.06524,1.11674,0.0018218,0.0018218,0.0018218
11,168.126,1.08863,1.05025,1.15299,0.90085,0.80769,0.87104,0.66269,0.95166,2.04139,1.10747,0.001802,0.001802,0.001802
12,182.651,1.02168,0.98305,1.10785,0.52696,0.73077,0.53573,0.39604,1.02094,3.22741,1.04569,0.0017822,0.0017822,0.0017822
13,198.001,1.06917,0.96051,1.1266,0.86321,0.48602,0.50149,0.39681,0.94954,1.25845,1.05782,0.0017624,0.0017624,0.0017624
14,214.789,0.98332,0.81995,1.07594,0.9553,0.57692,0.6021,0.41236,1.24061,1.21068,1.2052,0.0017426,0.0017426,0.0017426
15,232.679,0.98905,0.82867,1.08837,0.78367,0.46154,0.4785,0.36555,0.9924,1.06266,1.08614,0.0017228,0.0017228,0.0017228
16,251.679,0.96943,0.78302,1.07597,0.79142,0.61538,0.6275,0.4721,0.91946,1.04317,1.04885,0.001703,0.001703,0.001703
17,268.874,1.00567,0.796,1.12531,0.67971,0.4087,0.41237,0.27798,1.23592,1.89275,1.12267,0.0016832,0.0016832,0.0016832
18,286.715,1.0041,0.79284,1.08848,0.63778,0.60969,0.55726,0.41587,0.97025,1.08105,1.02816,0.0016634,0.0016634,0.0016634
19,305.522,1.00941,0.77108,1.09421,0.92359,0.65385,0.71721,0.54711,0.79649,1.04146,0.99481,0.0016436,0.0016436,0.0016436
20,325.199,0.95744,0.77516,1.07947,0.66001,0.57692,0.53207,0.36641,0.94447,1.26748,1.16428,0.0016238,0.0016238,0.0016238
21,346.195,0.9302,0.73733,1.07875,0.92988,0.53846,0.56113,0.45321,0.79381,0.82871,1.01377,0.001604,0.001604,0.001604
22,365.797,0.9856,0.72328,1.08104,0.99918,0.57692,0.64195,0.46023,0.92588,0.91504,1.10276,0.0015842,0.0015842,0.0015842
23,385.724,0.98349,0.68994,1.09201,0.99348,0.38462,0.38766,0.29533,0.99635,0.7457,1.12307,0.0015644,0.0015644,0.0015644
24,404.997,0.97768,0.72704,1.11934,0.92164,0.46154,0.46774,0.35564,0.79974,0.71501,1.01918,0.0015446,0.0015446,0.0015446
25,423.615,0.96916,0.68991,1.093,0.9292,0.5,0.52561,0.38697,0.86847,0.72913,1.08717,0.0015248,0.0015248,0.0015248
26,443.975,0.95834,0.66279,1.07733,0.98807,0.38462,0.38896,0.31272,0.8663,0.67576,1.03206,0.001505,0.001505,0.001505
